id,name,image_url,isni,code2,hometown_city,verified,current_city,sp_followers,sp_popularity,sp_monthly_listeners,deezer_fans,cm_artist_rank,cm_artist_score,tags,spotify_artist_ids,itunes_artist_ids,deezer_artist_ids,amazon_artist_ids,timestp,popularity,rank,change,velocity,streak,created_at,peak_date,peak_rank,time_on_chart,rankStats
2762,Taylor Swift,https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp,0000000078519858,US,Reading,True,,115247019.0,100.0,97345792.0,11140319.0,1.0,646770.0,"['Country', 'Pop', 'Rock']","['3z2P5DW0J7Pceqe8miT2tT', '06HL4z0CvFAxyc27GXpf02']",[159260351],"['12246', '12593129', '14065213']","['B001EEHK7C', 'B001RJ7OP2', 'B008JG9H9M', 'B008KH1M5W', 'B0025PYBVM', 'B003FMLINS', 'B00157GJ20']",2024-07-01,100,1,0,0.000000,78,2024-07-01 08:58:49.864,2024-07-01,1,2273,"[{'date': '2024-06-18', 'rank': 1}, {'date': '2024-06-19', 'rank': 1}, {'date': '2024-06-20', 'rank': 1}, {'date': '2024-06-21', 'rank': 1}, {'date': '2024-06-22', 'rank': 1}, {'date': '2024-06-23', 'rank': 1}, {'date': '2024-06-24', 'rank': 1}, {'date': '2024-06-25', 'rank': 1}, {'date': '2024-06-26', 'rank': 1}, {'date': '2024-06-27', 'rank': 1}, {'date': '2024-06-28', 'rank': 1}, {'date': '2024-06-29', 'rank': 1}, {'date': '2024-06-30', 'rank': 1}, {'date': '2024-07-01', 'rank': 1}]"
5596,Billie Eilish,https://i.scdn.co/image/ab67616100005174d8b9980db67272cb4d2c3daf,000000046748058X,US,Los Angeles,False,,96088607.0,94.0,96997188.0,7903515.0,3.0,571153.0,"['Pop', 'Electronic', 'Dance']",['6qqNVTkY8uBg9cP3Jd7DAH'],"[965936518, 1065981054]",['9635624'],"['B01A7VBHJ4', 'B01A7UUK7K', 'B01A7UTWX8', 'B01A7X2N5O', 'B01A7ZQ8Q2', 'B01A814AZG', 'B01A84O33C', 'B01A98O8PU']",2024-07-01,94,2,0,0.000000,78,2024-07-01 08:58:49.864,2019-06-28,1,2271,"[{'date': '2024-06-18', 'rank': 2}, {'date': '2024-06-19', 'rank': 2}, {'date': '2024-06-20', 'rank': 2}, {'date': '2024-06-21', 'rank': 2}, {'date': '2024-06-22', 'rank': 2}, {'date': '2024-06-23', 'rank': 2}, {'date': '2024-06-24', 'rank': 2}, {'date': '2024-06-25', 'rank': 2}, {'date': '2024-06-26', 'rank': 2}, {'date': '2024-06-27', 'rank': 2}, {'date': '2024-06-28', 'rank': 2}, {'date': '2024-06-29', 'rank': 2}, {'date': '2024-06-30', 'rank': 2}, {'date': '2024-07-01', 'rank': 2}]"
3380,Drake,https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9,000000012032246X,CA,Toronto,False,,89671017.0,94.0,74239790.0,23113009.0,2.0,587897.0,['Hip-Hop/Rap'],"['2Iqn8dbh4BvojpUyzWYnHg', '3TVXtAsR1Inumwj472S9r4', '0bxzG5POkPAzYmEhoNfgtO', '65Hl58L46lxt5QBI4AGsGW', '2pTaxwkFpeMa0hF114k5pa', '7GstH8EF1DS4SjGtNyUANW', '7yy0l7fZhBHr7wyfd01gRl']","[1396256855, 1227259884, 1603482457, 332601109, 271256]","['5215664', '246791', '5113766']","['B001RDCRPA', 'B008LALN98', 'B0025NKBDQ', 'B07MXLSWXN', 'B008L6SPES', 'B001E72M5Y', 'B003FMPP32', 'B000QJRIHS', 'B07MXLC7Q3']",2024-07-01,94,3,0,0.000000,78,2024-07-01 08:58:49.864,2021-11-16,1,2277,"[{'date': '2024-06-18', 'rank': 3}, {'date': '2024-06-19', 'rank': 4}, {'date': '2024-06-20', 'rank': 4}, {'date': '2024-06-21', 'rank': 4}, {'date': '2024-06-22', 'rank': 3}, {'date': '2024-06-23', 'rank': 3}, {'date': '2024-06-24', 'rank': 3}, {'date': '2024-06-25', 'rank': 3}, {'date': '2024-06-26', 'rank': 3}, {'date': '2024-06-27', 'rank': 3}, {'date': '2024-06-28', 'rank': 3}, {'date': '2024-06-29', 'rank': 3}, {'date': '2024-06-30', 'rank': 3}, {'date': '2024-07-01', 'rank': 3}]"
3852,The Weeknd,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,0000000382556637,CA,Toronto,False,,86084001.0,93.0,105231627.0,12646913.0,6.0,502776.0,"['Pop', 'R&B/Soul', 'Electronic']","['32WiMFmOXOeNcZoeDBwaG7', '3ZjyWEWVFtiL8UffMmQ7KA', '1Xyo4u8uXC1ZmMpatF05PJ']","[1639417841, 479756766]",['4050205'],"['B009W25WVE', 'B00G9UUBYA', 'B00GAN5R4K', 'B00GAP9T0Q', 'B00GAQI4VA', 'B00GAQPRHY', 'B00GAS1KIM', 'B00JD4S0PG', 'B00G9Y64K6']",2024-07-01,93,4,0,0.000000,78,2024-07-01 08:58:49.864,2023-03-22,1,2265,"[{'date': '2024-06-18', 'rank': 5}, {'date': '2024-06-19', 'rank': 3}, {'date': '2024-06-20', 'rank': 3}, {'date': '2024-06-21', 'rank': 3}, {'date': '2024-06-22', 'rank': 4}, {'date': '2024-06-23', 'rank': 4}, {'date': '2024-06-24', 'rank': 4}, {'date': '2024-06-25', 'rank': 4}, {'date': '2024-06-26', 'rank': 4}, {'date': '2024-06-27', 'rank': 4}, {'date': '2024-06-28', 'rank': 4}, {'date': '2024-06-29', 'rank': 4}, {'date': '2024-06-30', 'rank': 4}, {'date': '2024-07-01', 'rank': 4}]"
214945,Bad Bunny,https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df,0000000466373221,PR,Vega Baja,True,,83477493.0,94.0,66065789.0,6752321.0,11.0,434458.0,"['Latin Hip-Hop/Rap', 'Latin Pop', 'Latin Dance', 'Latin']","['1gyseuXnlYDgeuHvsT3EFf', '4q3ewBCX7sLwd24euuV69X']","[1151500992, 1437028714, 1271706915, 1237488712, 1126808565]","['12458280', '11887009', '13526139', '49505102', '11641917', '13512863', '13012251', '10583405', '107225282', '49343962', '11388452']","['B01HFQ703Q', 'B01HFQ6YVA', 'B01HFQJJ8A', 'B01HFT4B2G', 'B01HFWVAR2', 'B01HFYJJZA', 'B08FMWN4G8', 'B08FMWC8LD', 'B01HFUTKDK']",2024-07-01,93,5,0,0.000000,78,2024-07-01 08:58:49.864,2023-03-20,1,2267,"[{'date': '2024-06-18', 'rank': 4}, {'date': '2024-06-19', 'rank': 5}, {'date': '2024-06-20', 'rank': 5}, {'date': '2024-06-21', 'rank': 5}, {'date': '2024-06-22', 'rank': 5}, {'date': '2024-06-23', 'rank': 5}, {'date': '2024-06-24', 'rank': 5}, {'date': '2024-06-25', 'rank': 5}, {'date': '2024-06-26', 'rank': 5}, {'date': '2024-06-27', 'rank': 5}, {'date': '2024-06-28', 'rank': 5}, {'date': '2024-06-29', 'rank': 5}, {'date': '2024-06-30', 'rank': 5}, {'date': '2024-07-01', 'rank': 5}]"
3768,Kendrick Lamar,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,0000000362907030,US,Compton,False,,30763950.0,92.0,73495031.0,5252142.0,4.0,560708.0,['Hip-Hop/Rap'],['2YZyLoL8N0Wb9xBt1NhZWg'],[368183298],"['12706865', '4584118', '10811476', '4584115', '11957591', '525046', '4295497', '8230722', '8515302', '8262762', '4776464', '4947074', '2378841', '3165651', '4405899', '12794763', '4776465', '4776461']","['B008LM5FO0', 'B008LHKKMW', 'B0042PSYRU', 'B0042QGSF4', 'B0042QIKAK', 'B00437B2JO', 'B0042Q3AB4', 'B00DXJQW5M']",2024-07-01,92,6,0,0.000000,78,2024-07-01 08:58:49.864,2018-04-15,2,2261,"[{'date': '2024-06-18', 'rank': 6}, {'date': '2024-06-19', 'rank': 6}, {'date': '2024-06-20', 'rank': 6}, {'date': '2024-06-21', 'rank': 6}, {'date': '2024-06-22', 'rank': 6}, {'date': '2024-06-23', 'rank': 6}, {'date': '2024-06-24', 'rank': 6}, {'date': '2024-06-25', 'rank': 6}, {'date': '2024-06-26', 'rank': 6}, {'date': '2024-06-27', 'rank': 6}, {'date': '2024-06-28', 'rank': 6}, {'date': '2024-06-29', 'rank': 6}, {'date': '2024-06-30', 'rank': 6}, {'date': '2024-07-01', 'rank': 6}]"
4215,Travis Scott,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,0000000384091917,US,Houston,False,Houston,30618364.0,92.0,66617746.0,2487890.0,30.0,302892.0,"['Hip-Hop/Rap', 'Pop', 'Electronic']",['0Y5tJX1MQlPlqiwlOH1tJY'],"[916035670, 549236696]","['4495517', '12662473', '4495513', '8799110', '8659892', '8699794', '14711853']","['B0096Y8RCE', 'B003KLEMAA', 'B0098NJZ1A', 'B00VJYG1LS', 'B00VIXKTWC', 'B00970EIKW', 'B0096YF00G', 'B009A91KD8', 'B002H6IHTQ', 'B002H7HDUY', 'B002H8KFR6', 'B00970HFO8', 'B009AFVL8Q', 'B009ASPJIG', 'B001BMKIJO']",2024-07-01,92,7,0,-0.142857,78,2024-07-01 08:58:49.864,2018-09-20,2,2273,"[{'date': '2024-06-18', 'rank': 7}, {'date': '2024-06-19', 'rank': 7}, {'date': '2024-06-20', 'rank': 7}, {'date': '2024-06-21', 'rank': 7}, {'date': '2024-06-22', 'rank': 8}, {'date': '2024-06-23', 'rank': 8}, {'date': '2024-06-24', 'rank': 8}, {'date': '2024-06-25', 'rank': 7}, {'date': '2024-06-26', 'rank': 7}, {'date': '2024-06-27', 'rank': 7}, {'date': '2024-06-28', 'rank': 7}, {'date': '2024-06-29', 'rank': 7}, {'date': '2024-06-30', 'rank': 7}, {'date': '2024-07-01', 'rank': 7}]"
236,Eminem,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,0000000368611919,US,St. Joseph,False,Detroit,86708311.0,93.0,82742809.0,17397064.0,5.0,547668.0,['Hip-Hop/Rap'],"['41jEWMCpg4e3RVjY0o3hla', '0EARkJQiXURWnxdsXpUEdB', '7dGJo4pcD2V6oG8kP0tJRR']","[1375833586, 383917070, 1639564841, 111051]","['13', '8875404', '14169095', '5619506', '192466']","['B008I76J9S', 'B008GW2HBE', 'B003G75P2W', 'B001EC7C9K', 'B001Q9AZR2', 'B0025OK5S6', 'B000S2JA4W']",2024-07-01,91,8,0,0.142857,78,2024-07-01 08:58:49.864,2020-02-09,1,2274,"[{'date': '2024-06-18', 'rank': 9}, {'date': '2024-06-19', 'rank': 9}, {'date': '2024-06-20', 'rank': 9}, {'date': '2024-06-21', 'rank': 9}, {'date': '2024-06-22', 'rank': 7}, {'date': '2024-06-23', 'rank': 7}, {'date': '2024-06-24', 'rank': 7}, {'date': '2024-06-25', 'rank': 8}, {'date': '2024-06-26', 'rank': 8}, {'date': '2024-06-27', 'rank': 8}, {'date': '2024-06-28', 'rank': 8}, {'date': '2024-06-29', 'rank': 8}, {'date': '2024-06-30', 'rank': 8}, {'date': '2024-07-01', 'rank': 8}]"
3963,Ariana Grande,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,0000000059110272,US,Boca Raton,False,Boca Raton,97561839.0,91.0,78841071.0,12638020.0,9.0,472981.0,"['Pop', 'Electronic', 'R&B/Soul']",['66CXWjxzNUsdJxJ2JdwvnR'],[412778295],"['5307093', '1562681', '4338699', '12569872']","['B004ISZSN4', 'B004IT8BRS', 'B004ITQCOC', 'B004ITYT9C', 'B07CFTS3CT', 'B004IUAQ9S', 'B0098G1XOE', 'B0098LDKA4']",2024-07-01,91,9,-2,-0.142857,78,2024-07-01 08:58:49.864,2020-12-02,1,2267,"[{'date': '2024-06-18', 'rank': 10}, {'date': '2024-06-19', 'rank': 10}, {'date': '2024-06-20', 'rank': 10}, {'date': '2024-06-21', 'rank': 10}, {'date': '2024-06-22', 'rank': 10}, {'date': '2024-06-23', 'rank': 10}, {'date': '2024-06-24', 'rank': 10}, {'date': '2024-06-25', 'rank': 10}, {'date': '2024-06-26', 'rank': 10}, {'date': '2024-06-27', 'rank': 10}, {'date': '2024-06-28', 'rank': 10}, {'date': '2024-06-29', 'rank': 10}, {'date': '2024-06-30', 'rank': 11}, {'date': '2024-07-01', 'rank': 9}]"
135326,Post Malone,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,0000000463129709,US,Grapevine,False,,44466831.0,90.0,86953525.0,3793465.0,13.0,391738.0,"['Hip-Hop/Rap', 'Pop']","['246dkjvS1zLTtiykXe5h60', '5SZMHXuqHpNTfKC4v9WJL2']",[966309175],['7543848'],"['B00THSI00S', 'B00TGNJD9G', 'B00THBS6CW', 'B00TI2K556', 'B00TIE59SW', 'B00TIE7AUM', 'B00THRSUTK']",2024-07-01,90,10,1,0.142857,78,2024-07-01 08:58:49.864,2020-01-14,1,2269,"[{'date': '2024-06-18', 'rank': 8}, {'date': '2024-06-19', 'rank': 8}, {'date': '2024-06-20', 'rank': 8}, {'date': '2024-06-21', 'rank': 8}, {'date': '2024-06-22', 'rank': 9}, {'date': '2024-06-23', 'rank': 9}, {'date': '2024-06-24', 'rank': 9}, {'date': '2024-06-25', 'rank': 9}, {'date': '2024-06-26', 'rank': 9}, {'date': '2024-06-27', 'rank': 9}, {'date': '2024-06-28', 'rank': 9}, {'date': '2024-06-29', 'rank': 9}, {'date': '2024-06-30', 'rank': 9}, {'date': '2024-07-01', 'rank': 10}]"
