cm_track_id,isrc,name,IsHit,cm_artist,artist_names,spotify_popularity,score,track_genre,image_url,artist_images,spotify_artist_ids,explicit,region_codes
11597863,DEHY11500279,Shake It Off - Instrumental,0,"[2762, 215034, 602557, 48357]","['Taylor Swift', 'Max Martin', 'Shellback', 'B. Kudanowski']",3.0,,,https://i.scdn.co/image/ffc75f06108cebe343824fb9882c9bd33a6dae49,"['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp', None, None, None]",,,"['US', 'US', None, None]"
11597864,DEHY11500281,Stay - Instrumental,0,"[2762, 48357]","['Taylor Swift', 'B. Kudanowski']",32.0,,,https://i.scdn.co/image/ffc75f06108cebe343824fb9882c9bd33a6dae49,"['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp', None]",,,"['US', None]"
12619780,GBCAD1300457,We Are Never Ever Getting Back Together - Simon Mayo's Drivetime Live Session,0,[2762],['Taylor Swift'],0.0,,,https://api.deezer.com/album/7405572/image,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13062145,GBUM70900575,Love Story - Digital Dog Remix,1,"[2762, 116833]","['Taylor Swift', 'Digital Dog']",43.0,,,https://i.scdn.co/image/c571fc997e04c7e6a151f1951978ba5bf925be7d,"['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp', None]",,,"['US', None]"
13062146,GBUM70900576,Love Story - Digital Dog Radio Mix,0,[2762],['Taylor Swift'],0.0,,,https://i.scdn.co/image/ab67616d0000b273c168bf5b666051b066dba0dc,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13062147,GBUM70900580,Love Story - J Stax Radio Mix,0,"[2762, 678624]","['Taylor Swift', 'J.Stax']",20.0,,,https://api.deezer.com/album/272284/image,"['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp', None]",,,"['US', None]"
13062148,GBUM70900581,Should've Said No,1,[2762],['Taylor Swift'],29.0,,,https://api.deezer.com/album/272284/image,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13062149,GBUM70900582,Love Story - Stripped,0,[2762],['Taylor Swift'],,,,https://i.scdn.co/image/c571fc997e04c7e6a151f1951978ba5bf925be7d,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13062151,GBUM70900586,Teardrops On My Guitar - International Mix,1,[2762],['Taylor Swift'],34.0,,,https://i.scdn.co/image/88a41c983ee4b691fc1626fc7da5ecc99befb253,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13063203,GBUM70908622,You Belong With Me - Radio Mix,1,[2762],['Taylor Swift'],,,,https://i.scdn.co/image/d9666758eb52aa7f830b027d70409c848d7f5abe,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13064436,GBUM71000028,Today Was A Fairytale,1,[2762],['Taylor Swift'],0.0,,,https://i.scdn.co/image/d7fa3811f3fd7f080f024877d84aff252aa34ac5,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13065911,GBUM71026563,Mine,1,[2762],['Taylor Swift'],41.0,,,https://i.scdn.co/image/a4f0c7f75e5338c5982f7af791471ee8d4452cce,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13066215,GBUM71027838,Back To December,1,[2762],['Taylor Swift'],61.0,,,https://i.scdn.co/image/977770a279c6c70e296dc14a0a645d75abe910e6,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13066216,GBUM71027839,The Story Of Us,1,[2762],['Taylor Swift'],48.0,,,https://i.scdn.co/image/9cb0f2a9780f576fd76de95b0d294dd926287d12,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13910954,QMM9G1500101,"Today Was a Fairytale (From ""Valentine's Day"") [Piano Version]",0,[2762],['Taylor Swift'],1.0,,,https://i.scdn.co/image/fede3cf5cf2e6cf6ecda20ec40efa38fb2605e62,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
13940627,QMT281200760,The Hunger Games - Safe & Sound,1,"[71497, 1068, 313738, 2762, 211402, 2783]","['Katie Campbell', 'Joy Williams', 'T Bone Burnett', 'Taylor Swift', 'Dominik Hauser', 'John Paul White']",,,,https://i.scdn.co/image/201c121de7e3810966d9abaa53bdbe1f9dcb27f5,"[None, None, None, 'https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp', None, None]",,,"['US', 'US', 'US', 'US', None, 'US']"
13964612,QZ22B1747117,"I Don't Wanna Live Forever (From ""50 Shades Darker"") [Performed by Taylor Swift, ZAYN] [Piano Version]",0,[2762],['Taylor Swift'],0.0,,,https://i.scdn.co/image/61903c390fc4f10744eb781127c1a7cddde7a751,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
14196177,TCAAT1045612,Enchanted,1,[2762],['Taylor Swift'],0.0,,,https://i.scdn.co/image/38aaf9de0bcc8ed28a2389121a25f483611e6a5c,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
14196178,TCAAT1045613,Better Than Revenge,1,[2762],['Taylor Swift'],0.0,,,https://i.scdn.co/image/38aaf9de0bcc8ed28a2389121a25f483611e6a5c,['https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp'],,,['US']
