id,name,isrc,youtube_artist,image_url,cm_track,upload_date,license,album_names,youtube_artist_names,cm_artist,artist_names,code2s,artist_images,artist_covers,youtube_artist_ids,youtube_track_ids,composer_name,album,duration_ms,explicit,score,songwriter,spotify_popularity,album_ids,album_upc,album_label,artists,youtube_track_id,youtube_artist_name,youtube_artist_cm_artist,position,added_at,view_count,raw_data,velocity,pre_rank,peak_rank,peak_date,time_on_chart,rankStats,viewStats
fSMk5o9MWKM,Not Like Us,USUG12400910,/m/0g9x698,https://i.ytimg.com/vi/fSMk5o9MWKM/maxresdefault.jpg,120189440,2024-05-05T07:36:05.000Z,,['Not Like Us'],['Kendrick Lamar'],[3768],['Kendrick Lamar'],['US'],['https://lh3.googleusercontent.com/hMjzHmIuTV0XPlvRSjl3wMR6NP-uF-fqF6kkandkFX-hEVp6d3tw-FQG9_smAq0tFwNBT6QLQR-Hkwge'],['https://i.scdn.co/image/224a09b6da91299e7ae699256ac3faa41a701c2f'],['/m/0g9x698'],['fSMk5o9MWKM'],Kendrick Lamar,"[{'id': 35135021, 'label': 'Kendrick Lamar under exclusive license to Interscope Records', 'name': 'Not Like Us', 'release_date': '2024-05-04', 'upc': '602465779974'}]",274192.0,True,0.602001065235,['Kendrick Lamar'],97.0,[35135021],['602465779974'],['Kendrick Lamar under exclusive license to Interscope Records'],"[{'career_stage': 'superstar', 'code2': 'US', 'id': 3768, 'name': 'Kendrick Lamar', 'image_url': 'https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022'}]",fSMk5o9MWKM,Kendrick Lamar,3768,1,2024-06-27T00:00:00.000Z,12169849,,0.0,1.0,1,2024-06-20T00:00:00.000Z,2,"[{'rank': 1, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 1, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 8965569, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 12169849, 'timestp': '2024-06-27T00:00:00.000Z'}]"
t7bQwwqW-Hc,A Bar Song (Tipsy),USUYG1541249,/g/11b7_t9432,https://i.ytimg.com/vi/t7bQwwqW-Hc/maxresdefault.jpg,118969192,2024-04-12T04:00:36.000Z,,['A Bar Song (Tipsy)'],,,,,,,,['t7bQwwqW-Hc'],"Sean Cook, Nevin Sastry, Jerrel Jones, Joe Kent, Mark Williams","[{'id': 34611552, 'label': 'American Dogwood / EMPIRE', 'name': 'A Bar Song (Tipsy)', 'release_date': '2024-04-12', 'upc': '197342551922'}]",171291.0,True,0.321346011039,"['Sean Cook', 'Nevin Sastry', 'Jerrel Jones', 'Joe Kent', 'Mark Williams']",88.0,[34611552],['197342551922'],['American Dogwood / EMPIRE'],"[{'career_stage': 'mainstream', 'code2': 'US', 'id': 353814, 'name': 'Shaboozey', 'image_url': 'https://i.scdn.co/image/ab6761610000e5eb89447fe120bae042c52fad07'}]",t7bQwwqW-Hc,Shaboozey,353814,2,2024-06-27T00:00:00.000Z,7779581,,0.0,2.0,2,2024-06-20T00:00:00.000Z,11,"[{'rank': 2, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 2, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 7735131, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 7779581, 'timestp': '2024-06-27T00:00:00.000Z'}]"
bUX8MDNQda4,MILLION DOLLAR BABY,QM24S2402528,/g/11h2hbdm9p,https://i.ytimg.com/vi/bUX8MDNQda4/maxresdefault.jpg,119723065,2024-05-03T04:02:07.000Z,,['Million Dollar Baby - Single'],,,,,,,,['bUX8MDNQda4'],"Tommy Richman, Gideon Endalkachew","[{'id': 34933423, 'label': 'ISO Supremacy. Under exclusive license to PULSE Records.', 'name': 'Million Dollar Baby - Single', 'release_date': '2024-04-26', 'upc': '193436381567'}]",155151.0,False,0.745930895083,"['Tommy Richman', 'Gideon Endalkachew']",95.0,[34933423],['193436381567'],['ISO Supremacy. Under exclusive license to PULSE Records.'],"[{'career_stage': 'mid-level', 'code2': 'US', 'id': 1417553, 'name': 'Tommy Richman', 'image_url': 'https://i.scdn.co/image/ab6761610000e5ebbb330168f192dbdc28fcbd37'}]",bUX8MDNQda4,Tommy Richman,1417553,3,2024-06-27T00:00:00.000Z,6918255,,0.0,3.0,2,2024-05-30T00:00:00.000Z,5,"[{'rank': 3, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 3, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 7513463, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 6918255, 'timestp': '2024-06-27T00:00:00.000Z'}]"
GZ3zL7kT6_c,Lose Control (Live),USWB12302315,/g/11h763y_g9,https://i.ytimg.com/vi/GZ3zL7kT6_c/maxresdefault.jpg,104296194,2023-06-23T04:00:12.000Z,,['Lose Control'],,,,,,,,['GZ3zL7kT6_c'],"Julian Bunetta, Mikky Ekko, Marco Rodriguez","[{'id': 27890259, 'label': 'Warner Records', 'name': 'Lose Control', 'release_date': '2023-06-23', 'upc': '054391437884'}]",210688.0,False,0.253272575904,"['Julian Bunetta', 'Mikky Ekko', 'Marco Rodriguez']",91.0,[27890259],['054391437884'],['Warner Records'],"[{'career_stage': 'superstar', 'code2': 'US', 'id': 1481260, 'name': 'Teddy Swims', 'image_url': 'https://i.scdn.co/image/ab6761610000e5ebf76e11a5f3c08955fecea690'}]",GZ3zL7kT6_c,Teddy Swims,1481260,4,2024-06-27T00:00:00.000Z,5319690,,0.14285714285714285,5.0,1,2024-03-07T00:00:00.000Z,44,"[{'rank': 5, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 4, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 5917639, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 5319690, 'timestp': '2024-06-27T00:00:00.000Z'}]"
Oa_RSwwpPaA,Beautiful Things,USWB12307016,/g/11r_mnt170,https://i.ytimg.com/vi/Oa_RSwwpPaA/maxresdefault.jpg,116167805,2024-01-18T23:00:13.000Z,,['Beautiful Things'],,,,,,,,['Oa_RSwwpPaA'],"Benson Boone, Jackson Lafrantz Larsen, Evan Blair","[{'id': 33087005, 'label': 'Night Street Records, Inc./Warner Records Inc.', 'name': 'Beautiful Things', 'release_date': '2024-01-18', 'upc': '054391342751'}]",180304.0,False,0.461186664857,"['Benson Boone', 'Jackson Lafrantz Larsen', 'Evan Blair']",91.0,[33087005],['054391342751'],"['Night Street Records, Inc./Warner Records Inc.']","[{'career_stage': 'superstar', 'code2': 'US', 'id': 7623714, 'name': 'Benson Boone', 'image_url': 'https://i.scdn.co/image/ab6761610000e5ebb2ce21a89c09c00d80d8ca25'}]",Oa_RSwwpPaA,Benson Boone,7623714,5,2024-06-27T00:00:00.000Z,5193394,,0.14285714285714285,6.0,1,2024-03-21T00:00:00.000Z,23,"[{'rank': 6, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 5, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 5433504, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 5193394, 'timestp': '2024-06-27T00:00:00.000Z'}]"
4QIZE708gJ4,I Had Some Help (feat. Morgan Wallen),USUM72404990,/g/11bw82cs0m,https://i.ytimg.com/vi/4QIZE708gJ4/maxresdefault.jpg,120372551,2024-05-10T14:00:06.000Z,,['I Had Some Help'],['Post Malone'],[135326],['Post Malone'],['US'],['https://lh3.googleusercontent.com/48LfK4z6o-CCEWgHQnQfg0ltcT9tbZSN0qjSh0FSJsJI5GF48j2-pH219ciG1ML-PI80ZGD4Vz6sjg'],[None],['/g/11bw82cs0m'],['4QIZE708gJ4'],"Morgan Wallen, Austin Post, Louis Bell, Ernest Smith, Hoskins","[{'id': 35215538, 'label': 'Mercury Records/Republic Records', 'name': 'I Had Some Help', 'release_date': '2024-05-10', 'upc': '602465765199'}]",178205.0,True,0.358596605525,"['Morgan Wallen', 'Austin Post', 'Louis Bell', 'Ernest Smith', 'Hoskins']",95.0,[35215538],['602465765199'],['Mercury Records/Republic Records'],"[{'career_stage': 'superstar', 'code2': 'US', 'id': 135326, 'name': 'Post Malone', 'image_url': 'https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0'}]",4QIZE708gJ4,Post Malone,135326,6,2024-06-27T00:00:00.000Z,5049040,,0.2857142857142857,8.0,2,2024-05-16T00:00:00.000Z,7,"[{'rank': 8, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 6, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 5114395, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 5049040, 'timestp': '2024-06-27T00:00:00.000Z'}]"
22tVWwmTie8,Houdini,USUG12403398,/m/01vsgrn,https://i.ytimg.com/vi/22tVWwmTie8/maxresdefault.jpg,121490756,2024-05-31T04:00:02.000Z,,['Houdini'],['Eminem'],[236],['Eminem'],['US'],['https://lh3.googleusercontent.com/P-rYd_7rYsYjsHg9LwlI-66FpHn3dCSSuoFof_cCf08LWFEfZe4h94-pKnEXvut926ouTf6QU6849Q'],[None],['/m/01vsgrn'],['22tVWwmTie8'],"Marshall Mathers, Steve Miller, Jeff Bass, Kevin Bell, Anne Dudley, Trevor Horn, Malcolm Mclaren","[{'id': 35695534, 'label': 'Shady/Aftermath/Interscope Records', 'name': 'Houdini', 'release_date': '2024-05-31', 'upc': '602465882575'}]",227239.0,True,0.429301378748,"['Marshall Mathers', 'Steve Miller', 'Jeff Bass', 'Kevin Bell', 'Anne Dudley', 'Trevor Horn', 'Malcolm Mclaren']",94.0,[35695534],['602465882575'],['Shady/Aftermath/Interscope Records'],"[{'career_stage': 'superstar', 'code2': 'US', 'id': 236, 'name': 'Eminem', 'image_url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b'}]",22tVWwmTie8,Eminem,236,7,2024-06-27T00:00:00.000Z,4824661,,-0.42857142857142855,4.0,1,2024-06-06T00:00:00.000Z,4,"[{'rank': 4, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 7, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 6125175, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 4824661, 'timestp': '2024-06-27T00:00:00.000Z'}]"
cF1Na4AIecM,Please Please Please,USUM72404101,/m/0lkzqr1,https://i.ytimg.com/vi/cF1Na4AIecM/maxresdefault.jpg,122336328,2024-06-07T00:00:06.000Z,,['Please Please Please'],['Sabrina Carpenter'],"[4550, 206948]","['Sabrina', 'Sabrina Carpenter']","['PH', 'US']",['https://lh3.googleusercontent.com/FMh1mOI0ufvUCAkbUM6aUmU5WK7O5PnndyyXKP1-DCEip20SQz5eeYn3lZ29p-ASb-19ZfBVc_NKe5Ko'],[None],['/m/0lkzqr1'],['cF1Na4AIecM'],"Sabrina Carpenter, Jack Antonoff, Amy Allen","[{'id': 36053368, 'label': 'Island Records', 'name': 'Please Please Please', 'release_date': '2024-06-06', 'upc': '602465891782'}]",186365.0,True,0.434435917497,"['Sabrina Carpenter', 'Jack Antonoff', 'Amy Allen']",98.0,[36053368],['602465891782'],['Island Records'],"[{'career_stage': 'superstar', 'code2': 'US', 'id': 4550, 'name': 'Sabrina Carpenter', 'image_url': 'https://i.scdn.co/image/ab6761610000e5ebe053b8338322b9c8609ee7ae'}]",cF1Na4AIecM,Sabrina Carpenter,4550,8,2024-06-27T00:00:00.000Z,4784037,,-0.14285714285714285,7.0,3,2024-06-13T00:00:00.000Z,3,"[{'rank': 7, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 8, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 5257589, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 4784037, 'timestp': '2024-06-27T00:00:00.000Z'}]"
-V-sywKOCwQ,Si No Quieres No,US3DF2417042,/g/11gk34lb01,https://i.ytimg.com/vi/-V-sywKOCwQ/maxresdefault.jpg,117171327,2024-03-10T19:59:38.000Z,,['Si No Quieres No - Single'],,,,,,,,['-V-sywKOCwQ'],,"[{'id': 33679259, 'label': 'Kartel Music', 'name': 'Si No Quieres No - Single', 'release_date': '2024-03-09', 'upc': '1963621990404'}]",147011.0,False,0.126776496939,,89.0,[33679259],['1963621990404'],['Kartel Music'],"[{'career_stage': 'superstar', 'code2': 'MX', 'id': 890339, 'name': 'Luis R Conriquez', 'image_url': 'https://i.scdn.co/image/ab6761610000e5eb86e60a20b80600f450cd698c'}, {'career_stage': 'developing', 'code2': 'MX', 'id': 10600168, 'name': 'Neton Vega', 'image_url': 'https://i.scdn.co/image/ab67616d0000b2735c7365ca8cfaf7d80136c656'}]",-V-sywKOCwQ,Luis R Conriquez,890339,9,2024-06-27T00:00:00.000Z,4566900,,0.0,9.0,6,2024-04-18T00:00:00.000Z,15,"[{'rank': 9, 'timestp': '2024-06-20T00:00:00.000Z'}, {'rank': 9, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 5035818, 'timestp': '2024-06-20T00:00:00.000Z'}, {'views': 4566900, 'timestp': '2024-06-27T00:00:00.000Z'}]"
MgsdDfdGdHc,Si Antes Te Hubiera Conocido,USUG12400968,/g/11bt_1zp4n,https://i.ytimg.com/vi/MgsdDfdGdHc/maxresdefault.jpg,123222923,2024-06-21T00:00:06.000Z,,['Si Antes Te Hubiera Conocido'],['KAROL G'],[206809],['KAROL G'],['CO'],['https://lh3.googleusercontent.com/PAril_5wB_6SlkkoRPY46X2pCr3Wi3jbz1KlTetLt7HlNRpar-5QwGSTeAvKWFdbVvwCBMHLBhvBFqMY'],[None],['/g/11bt_1zp4n'],['MgsdDfdGdHc'],"Edgar Barrera, Andres Jael Correa Rios","[{'id': 36424634, 'label': 'Bichota/Interscope Records', 'name': 'Si Antes Te Hubiera Conocido', 'release_date': '2024-06-21', 'upc': '602465921229'}]",195824.0,False,0.202499370778,"['Edgar Barrera', 'Andres Jael Correa Rios']",92.0,[36424634],['602465921229'],['Bichota/Interscope Records'],"[{'career_stage': 'superstar', 'code2': 'CO', 'id': 206809, 'name': 'KAROL G', 'image_url': 'https://i.scdn.co/image/ab6761610000e5eb4b0754aefc9db490e02205ec'}]",MgsdDfdGdHc,KAROL G,206809,10,2024-06-27T00:00:00.000Z,4554424,,,,10,2024-06-27T00:00:00.000Z,1,"[{'rank': 10, 'timestp': '2024-06-27T00:00:00.000Z'}]","[{'views': 4554424, 'timestp': '2024-06-27T00:00:00.000Z'}]"
